movieid;title;rate;url;is_new;playable;cover
1307038;孤苦盲女阿玲;8.5;https://movie.douban.com/subject/1307038/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2216162621.jpg
1298350;火车上的男人;8.2;https://movie.douban.com/subject/1298350/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p1709034262.jpg
2216828;抓壮丁;8.6;https://movie.douban.com/subject/2216828/;False;True;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2353732619.jpg
4928750;灌篮高手 剧场版4;8.9;https://movie.douban.com/subject/4928750/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2221506369.jpg
1297208;祇园姊妹;8.0;https://movie.douban.com/subject/1297208/;False;True;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p1898346777.jpg
1299466;宗方姐妹;8.0;https://movie.douban.com/subject/1299466/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2320354722.jpg
1301130;日本最长的一天;8.2;https://movie.douban.com/subject/1301130/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2224785200.jpg
1899630;不可思议的收缩人;8.2;https://movie.douban.com/subject/1899630/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2197441642.jpg
2084510;丁丁历险记之太阳神的囚徒;8.7;https://movie.douban.com/subject/2084510/;False;True;https://img1.doubanio.com/lpic/s3620297.jpg
1296344;沃特希普高地;8.2;https://movie.douban.com/subject/1296344/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2005189115.jpg
1306845;逝水年华;8.0;https://movie.douban.com/subject/1306845/;False;False;https://img3.doubanio.com/lpic/s1507023.jpg
1467739;秋雨;8.1;https://movie.douban.com/subject/1467739/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2185402562.jpg
1304204;变种外星人;8.1;https://movie.douban.com/subject/1304204/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2183438047.jpg
1302603;另一个女人;8.2;https://movie.douban.com/subject/1302603/;False;False;https://img1.doubanio.com/view/movie_poster_cover/lpst/public/p2182320999.jpg
1293876;里斯本的故事;8.5;https://movie.douban.com/subject/1293876/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p811817801.jpg
3418199;幸存的生命（理论与实践）;8.2;https://movie.douban.com/subject/3418199/;False;False;https://img3.doubanio.com/lpic/s24952963.jpg
1440382;古巴万岁;8.2;https://movie.douban.com/subject/1440382/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p774048641.jpg
1441038;人间的条件(第三、四部);8.7;https://movie.douban.com/subject/1441038/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2327866382.jpg
2062564;一碗阳春面;9.0;https://movie.douban.com/subject/2062564/;False;False;https://img3.doubanio.com/view/movie_poster_cover/lpst/public/p2182803213.jpg
